procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 5532744 5206536 37948 1706168 33   97   483   458 6858    4  2  1 97  0  0  0
 1  0 5532524 5121904 37956 1724992  0    0  7028 12436 5238 4979  7  1 92  0  0  0
 1  0 5532508 5121544 37956 1725804  0    0     0     0 3214 2660  7  0 93  0  0  0
 1  1 5532464 5120540 37956 1725940  4    0   144   148 3644 2819  7  0 93  0  0  0
 3  0 5532244 5080760 37972 1719236 52    0  3080   304 6042 5005  9  3 88  0  0  0
 3  0 5532236 5039364 37972 1708020  0    0 280016    0 27418 10530 4 12 81 4  0  0
 2  1 5532336 5032340 37960 1664612  4    0 229484    0 39249 9020 4 12 81  3  0  0
 3  0 5560112 5030120 37960 1655596  0    0 121512    0 58717 8713 5 13 80  1  0  0
