Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

13:29:35      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:29:36     1000   1258579         -   91.09    5.94    0.00    0.00   97.03     2  blur_par
13:29:36     1000         -   1258579   77.23    5.94    0.00    0.00   83.17     2  |__blur_par
13:29:36     1000         -   1258591   12.87    0.00    0.00    0.00   12.87     2  |__blur_par
13:29:37     1000   1258579         -   99.00    0.00    0.00    0.00   99.00     2  blur_par
13:29:37     1000         -   1258579    0.00    0.00    0.00    0.00    0.00     2  |__blur_par
13:29:37     1000         -   1258591  100.00    0.00    0.00    0.00  100.00     6  |__blur_par
13:29:38     1000   1258579         -  100.00    0.00    0.00    0.00  100.00     2  blur_par
13:29:38     1000         -   1258579    0.00    0.00    0.00    0.00    0.00     2  |__blur_par
13:29:38     1000         -   1258591  100.00    0.00    0.00    0.00  100.00     2  |__blur_par
13:29:39     1000   1258579         -   98.00    3.00    0.00    0.00  101.00     6  blur_par
13:29:39     1000         -   1258579    8.00    3.00    0.00    0.00   11.00     6  |__blur_par
13:29:39     1000         -   1258648   29.00    0.00    0.00    0.00   29.00     3  |__blur_par
13:29:40     1000   1258579         -  100.00    0.00    0.00    0.00  100.00     6  blur_par
13:29:40     1000         -   1258579    0.00    0.00    0.00    0.00    0.00     6  |__blur_par
13:29:40     1000         -   1258648  100.00    0.00    0.00    0.00  100.00     3  |__blur_par
13:29:41     1000   1258579         -  100.00    0.00    0.00    0.00  100.00     6  blur_par
13:29:41     1000         -   1258579   22.00    0.00    0.00    0.00   22.00     6  |__blur_par
