Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

14:00:50      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:00:51     1000   1286573         -  357.00    6.00    0.00    0.00  363.00     3  blur_par
14:00:51     1000         -   1286573   76.00    6.00    0.00    0.00   82.00     3  |__blur_par
14:00:51     1000         -   1286585    8.00    0.00    0.00    9.00    8.00    14  |__blur_par
14:00:51     1000         -   1286586   13.00    0.00    0.00    3.00   13.00    10  |__blur_par
14:00:51     1000         -   1286587   14.00    0.00    0.00    3.00   14.00    12  |__blur_par
14:00:51     1000         -   1286588    8.00    0.00    0.00    8.00    8.00     7  |__blur_par
14:00:51     1000         -   1286589   14.00    0.00    0.00    3.00   14.00     5  |__blur_par
14:00:51     1000         -   1286590   15.00    0.00    0.00    1.00   15.00     0  |__blur_par
14:00:51     1000         -   1286591   13.00    0.00    0.00    3.00   13.00     8  |__blur_par
14:00:51     1000         -   1286593    6.00    0.00    0.00   10.00    6.00    15  |__blur_par
14:00:51     1000         -   1286594    5.00    0.00    0.00   12.00    5.00    11  |__blur_par
14:00:51     1000         -   1286595    7.00    0.00    0.00   10.00    7.00    12  |__blur_par
14:00:51     1000         -   1286596    8.00    0.00    0.00    9.00    8.00     6  |__blur_par
14:00:51     1000         -   1286597    6.00    0.00    0.00   11.00    6.00     0  |__blur_par
14:00:51     1000         -   1286598    7.00    0.00    0.00   10.00    7.00     4  |__blur_par
14:00:51     1000         -   1286599    7.00    0.00    0.00   10.00    7.00     9  |__blur_par
14:00:51     1000         -   1286601    6.00    0.00    0.00   11.00    6.00    14  |__blur_par
14:00:51     1000         -   1286602    4.00    0.00    0.00   12.00    4.00    11  |__blur_par
14:00:51     1000         -   1286603    7.00    0.00    0.00   10.00    7.00    13  |__blur_par
14:00:51     1000         -   1286604    8.00    0.00    0.00    9.00    8.00     6  |__blur_par
14:00:51     1000         -   1286605    7.00    0.00    0.00   10.00    7.00     2  |__blur_par
14:00:51     1000         -   1286606    6.00    0.00    0.00   11.00    6.00     1  |__blur_par
14:00:51     1000         -   1286607    7.00    0.00    0.00   10.00    7.00     9  |__blur_par
14:00:51     1000         -   1286608    6.00    0.00    0.00   11.00    6.00     3  |__blur_par
14:00:51     1000         -   1286609    6.00    0.00    0.00   11.00    6.00    10  |__blur_par
14:00:51     1000         -   1286610    8.00    0.00    0.00    9.00    8.00     7  |__blur_par
14:00:51     1000         -   1286611    7.00    0.00    0.00   10.00    7.00    13  |__blur_par
14:00:51     1000         -   1286612    7.00    0.00    0.00   10.00    7.00     5  |__blur_par
14:00:51     1000         -   1286613    7.00    0.00    0.00   10.00    7.00     8  |__blur_par
14:00:51     1000         -   1286614    6.00    0.00    0.00   11.00    6.00     1  |__blur_par
14:00:51     1000         -   1286615    7.00    0.00    0.00    9.00    7.00    15  |__blur_par
14:00:51     1000         -   1286616    5.00    0.00    0.00   12.00    5.00    11  |__blur_par
14:00:52     1000   1286573         -  800.00    4.00    0.00    0.00  804.00     6  blur_par
14:00:52     1000         -   1286573   46.00    4.00    0.00    0.00   50.00     6  |__blur_par
