Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

13:42:05      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:42:07     1000   1269557         -  177.00    6.00    0.00    0.00  183.00     7  blur_par
13:42:07     1000         -   1269557   66.00    6.00    0.00    0.00   72.00     7  |__blur_par
13:42:07     1000         -   1269566   27.00    0.00    0.00    0.00   27.00     2  |__blur_par
13:42:07     1000         -   1269567   27.00    0.00    0.00    0.00   27.00     0  |__blur_par
13:42:07     1000         -   1269568   27.00    0.00    0.00    0.00   27.00     8  |__blur_par
13:42:07     1000         -   1269569   28.00    0.00    0.00    0.00   28.00     6  |__blur_par
13:42:08     1000   1269557         -  357.00    4.00    0.00    0.00  361.00     7  blur_par
13:42:08     1000         -   1269557    8.00    4.00    0.00    0.00   12.00     7  |__blur_par
13:42:08     1000         -   1269573   44.00    0.00    0.00    0.00   44.00     9  |__blur_par
13:42:08     1000         -   1269574   44.00    0.00    0.00    0.00   44.00    13  |__blur_par
13:42:08     1000         -   1269575   44.00    0.00    0.00    0.00   44.00     3  |__blur_par
13:42:08     1000         -   1269576   44.00    0.00    0.00    0.00   44.00     7  |__blur_par
13:42:09     1000   1269557         -  170.00    2.00    0.00    0.00  172.00     2  blur_par
13:42:09     1000         -   1269557   73.00    2.00    0.00    0.00   75.00     2  |__blur_par
