Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

13:35:48      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:35:49     1000   1264305         -  111.00    6.00    0.00    0.00  117.00     6  blur_par
13:35:49     1000         -   1264305   75.00    6.00    0.00    0.00   81.00     6  |__blur_par
13:35:49     1000         -   1264326   17.00    0.00    0.00    0.00   17.00     6  |__blur_par
13:35:49     1000         -   1264327   17.00    0.00    0.00    0.00   17.00     2  |__blur_par
13:35:50     1000   1264305         -  200.00    0.00    0.00    0.00  200.00     6  blur_par
13:35:50     1000         -   1264305    0.00    0.00    0.00    0.00    0.00     6  |__blur_par
13:35:50     1000         -   1264326  100.00    0.00    0.00    0.00  100.00     6  |__blur_par
13:35:50     1000         -   1264327  100.00    0.00    0.00    0.00  100.00     3  |__blur_par
13:35:51     1000   1264305         -  185.00    3.00    0.00    0.00  188.00     2  blur_par
13:35:51     1000         -   1264305    9.00    3.00    0.00    0.00   12.00     2  |__blur_par
13:35:51     1000         -   1264371   69.00    0.00    0.00    0.00   69.00     3  |__blur_par
13:35:51     1000         -   1264372   69.00    0.00    0.00    0.00   69.00     7  |__blur_par
13:35:52     1000   1264305         -  143.00    1.00    0.00    0.00  144.00     7  blur_par
13:35:52     1000         -   1264305   53.00    1.00    0.00    0.00   54.00     7  |__blur_par
