Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

18:02:57      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:02:58     1000   1498796         -  244.00    0.00    0.00    0.00  244.00     3  pearson_par
18:02:58     1000         -   1498796   18.00    0.00    0.00    0.00   18.00     3  |__pearson_par
18:02:58     1000         -   1498800   81.00    0.00    0.00    0.00   81.00     3  |__pearson_par
18:02:59     1000   1498796         -   47.00   53.00    0.00    0.00  100.00     3  pearson_par
18:02:59     1000         -   1498796   17.00   53.00    0.00    0.00   70.00     3  |__pearson_par
18:03:00     1000   1498796         -   21.00   77.00    0.00    0.00   98.00     3  pearson_par
18:03:00     1000         -   1498796   21.00   77.00    0.00    0.00   98.00     3  |__pearson_par
18:03:01     1000   1498796         -   23.00   77.00    0.00    0.00  100.00     3  pearson_par
18:03:01     1000         -   1498796   23.00   77.00    0.00    0.00  100.00     3  |__pearson_par
