Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

17:56:32      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17:56:33     1000   1493371         -   99.00    0.00    0.00    0.00   99.00     2  pearson_par
17:56:33     1000         -   1493371   19.00    0.00    0.00    0.00   19.00     2  |__pearson_par
17:56:33     1000         -   1493390   79.00    0.00    0.00    0.00   79.00     3  |__pearson_par
17:56:34     1000   1493371         -  100.00    0.00    0.00    0.00  100.00     2  pearson_par
17:56:34     1000         -   1493371    0.00    0.00    0.00    0.00    0.00     2  |__pearson_par
17:56:34     1000         -   1493390  100.00    0.00    0.00    0.00  100.00     3  |__pearson_par
17:56:35     1000   1493371         -   98.00    2.00    0.00    0.00  100.00     6  pearson_par
17:56:35     1000         -   1493371    2.00    2.00    0.00    0.00    4.00     6  |__pearson_par
17:56:36     1000   1493371         -   23.00   77.00    0.00    0.00  100.00     6  pearson_par
17:56:36     1000         -   1493371   23.00   77.00    0.00    0.00  100.00     6  |__pearson_par
17:56:37     1000   1493371         -   22.00   78.00    0.00    0.00  100.00     6  pearson_par
17:56:37     1000         -   1493371   22.00   78.00    0.00    0.00  100.00     6  |__pearson_par
17:56:38     1000   1493371         -   24.00   76.00    0.00    0.00  100.00     6  pearson_par
17:56:38     1000         -   1493371   24.00   76.00    0.00    0.00  100.00     6  |__pearson_par
