Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

18:09:17      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:09:18     1000   1504053         -  468.00   21.00    0.00    0.00  489.00     3  pearson_par
18:09:18     1000         -   1504053   27.00   21.00    0.00    0.00   48.00     3  |__pearson_par
18:09:19     1000   1504053         -   23.00   75.00    0.00    0.00   98.00     2  pearson_par
18:09:19     1000         -   1504053   23.00   75.00    0.00    0.00   98.00     2  |__pearson_par
18:09:20     1000   1504053         -   23.00   78.00    0.00    0.00  101.00     3  pearson_par
18:09:20     1000         -   1504053   23.00   78.00    0.00    0.00  101.00     3  |__pearson_par
18:09:21     1000   1504053         -   22.00   78.00    0.00    0.00  100.00     3  pearson_par
18:09:21     1000         -   1504053   21.00   78.00    0.00    0.00   99.00     3  |__pearson_par
