Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

18:06:06      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:06:07     1000   1501341         -  281.00   19.00    0.00    0.00  300.00     6  pearson_par
18:06:07     1000         -   1501341   20.00   19.00    0.00    0.00   39.00     6  |__pearson_par
18:06:08     1000   1501341         -   24.00   76.00    0.00    0.00  100.00     7  pearson_par
18:06:08     1000         -   1501341   24.00   76.00    0.00    0.00  100.00     7  |__pearson_par
18:06:09     1000   1501341         -   25.00   75.00    0.00    0.00  100.00     7  pearson_par
18:06:09     1000         -   1501341   25.00   75.00    0.00    0.00  100.00     7  |__pearson_par
18:06:10     1000   1501341         -   23.00   77.00    0.00    0.00  100.00     7  pearson_par
18:06:10     1000         -   1501341   23.00   77.00    0.00    0.00  100.00     7  |__pearson_par
