Linux 6.15.6-arch1-1 (LegionArch) 	10/18/25 	_x86_64_	(16 CPU)

15:40:28      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:40:29     1000    149393   96.00    3.00    0.00    0.00   99.00     2  blur
15:40:30     1000    149393  100.00    0.00    0.00    0.00  100.00     3  blur
15:40:31     1000    149393  100.00    0.00    0.00    0.00  100.00     3  blur
15:40:32     1000    149393  100.00    0.00    0.00    0.00  100.00     2  blur
15:40:33     1000    149393  100.00    0.00    0.00    0.00  100.00     7  blur
15:40:34     1000    149393  100.00    0.00    0.00    0.00  100.00     6  blur
15:40:35     1000    149393  100.00    0.00    0.00    0.00  100.00     7  blur
15:40:36     1000    149393  100.00    0.00    0.00    0.00  100.00     6  blur
