procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 4355908 1954960 27360 1467716 31   97   455   449 6804    4  2  1 97  0  0  0
 1  0 4352928 4865920 27364 1500776 32    0 20548 12388 26715 16730 11 7 81 0  0  0
 1  0 4352928 3374976 27372 1501208  0    0   100   120 10612 9940 8  2 91  0  0  0
 4  0 4352824 1727780 27504 1543456  0    0   132   116 16981 14825 11 4 85 0  0  0
 5  0 4352812 3842700 27528 1549332  0    0   856   292 19296 17560 10 16 74 0 0  0
 3  0 4352752 2613948 27528 1599268 24    0 43008 85336 27338 19522 10 14 76 1 0  0
 4  1 4352548 4006528 26580 1679880  0    0 138456    0 26244 25056 11 15 72 2 0  0
 3  0 4351976 2416000 26576 1657812 684   0 88636 77528 31550 21923 10 14 75 1 0  0
