Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

01:06:55      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:06:56     1000    680610         -  190.00    5.00    0.00    0.00  195.00     2  blur_par
01:06:56     1000         -    680610   62.00    5.00    0.00    0.00   67.00     2  |__blur_par
01:06:56     1000         -    680619   31.00    0.00    0.00    0.00   31.00     3  |__blur_par
01:06:56     1000         -    680620   31.00    0.00    0.00    0.00   31.00     6  |__blur_par
01:06:56     1000         -    680621   32.00    0.00    0.00    0.00   32.00    13  |__blur_par
01:06:56     1000         -    680622   32.00    0.00    0.00    0.00   32.00     9  |__blur_par
01:06:57     1000    680610         -  321.00    2.00    0.00    0.00  323.00     2  blur_par
01:06:57     1000         -    680610   22.00    2.00    0.00    0.00   24.00     2  |__blur_par
