Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

00:55:17      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
00:55:18     1000    671277         -   93.07    4.95    0.00    0.00   98.02     7  blur_par
00:55:18     1000         -    671277   58.42    4.95    0.00    0.00   63.37     7  |__blur_par
00:55:18     1000         -    671287   34.65    0.00    0.00    0.00   34.65     7  |__blur_par
00:55:19     1000    671277         -  100.00    0.00    0.00    0.00  100.00     7  blur_par
00:55:19     1000         -    671277    0.00    0.00    0.00    0.00    0.00     7  |__blur_par
00:55:19     1000         -    671287  100.00    0.00    0.00    0.00  100.00     7  |__blur_par
00:55:20     1000    671277         -   97.00    4.00    0.00    0.00  101.00     2  blur_par
00:55:20     1000         -    671277    6.00    4.00    0.00    0.00   10.00     2  |__blur_par
00:55:20     1000         -    671305   19.00    0.00    0.00    0.00   19.00     3  |__blur_par
00:55:21     1000    671277         -   99.00    0.00    0.00    0.00   99.00     2  blur_par
00:55:21     1000         -    671277    0.00    0.00    0.00    0.00    0.00     2  |__blur_par
00:55:21     1000         -    671305  100.00    0.00    0.00    0.00  100.00     6  |__blur_par
00:55:22     1000    671277         -  100.00    0.00    0.00    0.00  100.00     2  blur_par
00:55:22     1000         -    671277    0.00    0.00    0.00    0.00    0.00     2  |__blur_par
00:55:22     1000         -    671305  100.00    0.00    0.00    0.00  100.00     6  |__blur_par
