Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

15:53:49      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:53:50     1000   1378977   98.00    1.00    0.00    0.00   99.00     3  pearson
15:53:51     1000   1378977  100.00    0.00    0.00    0.00  100.00     7  pearson
15:53:52     1000   1378977  100.00    0.00    0.00    0.00  100.00     6  pearson
15:53:53     1000   1378977   27.00   73.00    0.00    0.00  100.00     6  pearson
15:53:54     1000   1378977   14.00   85.00    0.00    0.00   99.00     7  pearson
15:53:55     1000   1378977   13.00   88.00    0.00    0.00  101.00    13  pearson
15:53:56     1000   1378977   16.00   83.00    0.00    1.00   99.00    13  pearson
15:53:57     1000   1378977   15.00   85.00    0.00    0.00  100.00     9  pearson
15:53:58     1000   1378977   17.00   82.00    0.00    0.00   99.00     9  pearson
