procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 4741880 5158292 23072 1648328 34   97   510   469 6890    4  2  1 97  0  0  0
 1  0 4740352 5095060 23072 1671568 540   0 11208 12916 5532 5009  7  1 92  0  0  0
 1  1 4740348 5105204 23088 1671556  0    0     0   104 3255 2749  7  0 93  0  0  0
 1  0 4738800 5105216 23104 1671548 180   0   180    88 4097 2967  7  0 93  0  0  0
 3  0 4738676 5079856 23104 1666912  0    0   676   176 6899 4787  6  9 85  0  0  0
 3  0 4738960 4937884 23104 1679268  0    0 157800    0 15709 7263 6 12 81  2  0  0
 4  0 4738944 5134812 23108 1636504  4    0 99288 166172 30324 9251 5 13 80 1  0  0
 3  0 4738924 5131720 23108 1641768  0    0    64     0 5600 3035  3 10 86  0  0  0
