procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 2324928 1789688 64088 2638680  0    8   612   466 8455    5  3  1 96  0  0  0
 1  0 2324928 1613456 64088 2653508  0    0  7000 14320 9698 9264  7  1 91  0  0  0
 1  0 2324928 1615072 64088 2653684  0    0     0     0 7980 6944  7  1 93  0  0  0
 1  0 2324928 1616124 64088 2653684  0    0     0     0 8324 7274  7  1 92  0  0  0
 2  0 2324928 1590236 64088 2668520  0    0 20764   224 9988 9252  8  1 91  1  0  0
 1  0 2324936 1676236 64096 2615800  0    0 85388 58240 21804 11844 8 2 89  1  0  0
 1  0 2324936 1677432 64096 2615616  0    0     0     0 8125 7209  7  1 92  0  0  0
 1  0 2324936 1674216 64096 2615548  0    0     0     0 10721 10957 9 1 90  0  0  0
